"","WT","STAT1_0","STAT5_0","IL1R_0","IL12_out_0","FCGR_0","NFKB_0","VEGF_out_0","TLR4_0","IL6_out_0","KLF4_0","STAT6_0","IL10_out_0","SOCS1_0","PPARG_0","STAT3_IL6_0","STAT3_IL10_0","SOCS3_0","IL6R_0","IL10R_0","IFNG_e_0","GMCSF_e_0","IL1B_e_0","IC_e_0","LPS_e_0","NECA_e_0","EGFR_e_0","IL4_e_0","IL6_e_0","IL10_e_0","STAT1_1","STAT5_1","IL1R_1","IL12_out_1","FCGR_1","NFKB_1","VEGF_out_1","TLR4_1","IL6_out_1","KLF4_1","STAT6_1","IL10_out_1","SOCS1_1","PPARG_1","STAT3_IL6_1","STAT3_IL10_1","SOCS3_1","IL6R_1","IL10R_1","IFNG_e_1","GMCSF_e_1","IL1B_e_1","IC_e_1","LPS_e_1","NECA_e_1","EGFR_e_1","IL4_e_1","IL6_e_1","IL10_e_1"
"M1M2/M2/M2/M1M2/M2/M2",16,0,16,16,0,32,4,0,0,0,16,32,0,16,16,0,0,0,0,0,0,8,8,16,0,0,8,16,8,16,32,0,16,0,0,0,56,40,16,4,0,0,0,0,0,0,0,0,0,16,8,8,0,16,16,8,0,8,0
"M1M2/M2d/M2",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M2d/M2/M1M2/M2d/M2",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M2d/M2d",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/M2d/M2d/M1M2/M2d/M2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1M2/NoLabel/NoLabel/M1M2/M1/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2",256,256,256,256,256,448,256,160,160,216,256,64,80,256,256,464,32,624,464,32,128,128,144,224,96,80,32,32,128,128,256,256,256,0,0,384,640,400,384,256,448,256,256,256,592,448,464,592,256,128,128,112,32,160,176,224,224,128,128
"M2/il6/il6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2/il6/M0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2/il6/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2/M0/M0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
"M2/M0/M0/M2/il6/il6",12,16,16,18,16,12,24,12,18,0,12,24,0,12,12,0,0,0,0,0,8,8,12,6,12,6,12,12,0,12,8,8,0,0,0,0,0,0,0,24,0,0,32,0,0,0,0,0,0,4,4,0,6,0,6,0,0,12,0
"M2/M0/M0/M2/M0/M0",0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M2/M0/M1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"M2/M0/M1/M2/il6/M1",4,0,0,6,0,4,8,4,6,0,4,8,0,4,4,0,0,0,0,0,0,0,4,2,4,2,4,4,0,4,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,2,0,2,0,0,4,0
"M2/M0/M1/M2/M0/M1",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
