"","attractor","state","IFNG_e","GMCSF_e","IL1B_e","IC_e","LPS_e","NECA_e","EGFR_e","IL4_e","IL6_e","IL10_e","STAT1","STAT5","IL1R","IL12_out","FCGR","NFKB","VEGF_out","TLR4","IL6_out","KLF4","STAT6","IL10_out","SOCS1","PPARG","STAT3_IL6","STAT3_IL10","SOCS3","IL6R","IL10R","cell.type"
"8130",2695,6,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8131",2696,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8132",2696,2,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8133",2696,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8134",2696,4,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8135",2696,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8136",2696,6,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8401",2741,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8402",2741,2,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8403",2741,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8404",2741,4,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
"8405",2741,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,"M0__/M1__/M0__/M1__/NoLabel/M1__"
