"","dec.attractor","label"
"298",122535680,"NoLabel"
"299",525188864,"NoLabel"
"300",256753408,"NoLabel"
"301",508411648,"NoLabel"
"302",239976192,"NoLabel"
"303",374193920,"NoLabel"
"304",105758464,"NoLabel"
"305",375242496,"NoLabel"
"306",106807040,"NoLabel"
"307",509460224,"NoLabel"
"308",241024768,"NoLabel"
"309",526237440,"NoLabel"
"310",257801984,"NoLabel"
"311",392019712,"NoLabel"
"312",123584256,"NoLabel"
"313",387825408,"NoLabel"
"314",119389952,"NoLabel"
"315",522043136,"NoLabel"
"316",253607680,"NoLabel"
"317",505265920,"NoLabel"
"318",236830464,"NoLabel"
"319",371048192,"NoLabel"
"320",102612736,"NoLabel"
"321",371047936,"M2a"
"322",102612480,"M2a"
"323",505265664,"M2a"
"324",236830208,"M2a"
"325",471711232,"M2a"
"326",203275776,"M2a"
"327",337493504,"M2a"
"328",69058048,"M2a"
"329",354270720,"M2a"
"330",85835264,"M2a"
"331",488488448,"M2a"
"332",220052992,"M2a"
"333",522042880,"M2a"
"334",253607424,"M2a"
"335",387825152,"M2a"
"336",119389696,"M2a"
"337",392019456,"M2a"
"338",123584000,"M2a"
"339",526237184,"M2a"
"340",257801728,"M2a"
"341",492682752,"M2a"
"342",224247296,"M2a"
"343",358465024,"M2a"
"344",90029568,"M2a"
"345",341687808,"M2a"
"346",73252352,"M2a"
"347",475905536,"M2a"
"348",207470080,"M2a"
"349",509459968,"M2a"
"350",241024512,"M2a"
"351",375242240,"M2a"
"352",106806784,"M2a"
"353",374193664,"M2a"
"354",105758208,"M2a"
"355",508411392,"M2a"
"356",239975936,"M2a"
"357",474856960,"M2a"
"358",206421504,"M2a"
"359",340639232,"M2a"
"360",72203776,"M2a"
"361",357416448,"M2a"
"362",88980992,"M2a"
"363",491634176,"M2a"
"364",223198720,"M2a"
"365",525188608,"M2a"
"366",256753152,"M2a"
"367",390970880,"M2a"
"368",122535424,"M2a"
"369",386776576,"M2a"
"370",118341120,"M2a"
"371",520994304,"M2a"
"372",252558848,"M2a"
"373",487439872,"M2a"
"374",219004416,"M2a"
"375",353222144,"M2a"
"376",84786688,"M2a"
"377",336444928,"M2a"
"378",68009472,"M2a"
"379",470662656,"M2a"
"380",202227200,"M2a"
"381",504217088,"M2a"
"382",235781632,"M2a"
"383",369999360,"M2a"
"384",101563904,"M2a"
"385",369475072,"M2a"
"386",101039616,"M2a"
"387",503692800,"M2a"
"388",235257344,"M2a"
"389",470138368,"M2a"
"390",201702912,"M2a"
"391",335920640,"M2a"
"392",67485184,"M2a"
"393",352697856,"M2a"
"394",84262400,"M2a"
"395",486915584,"M2a"
"396",218480128,"M2a"
"397",520470016,"M2a"
"398",252034560,"M2a"
"399",386252288,"M2a"
"400",117816832,"M2a"
"401",390446592,"M2a"
"402",122011136,"M2a"
"403",524664320,"M2a"
"404",256228864,"M2a"
"405",491109888,"M2a"
"406",222674432,"M2a"
"407",356892160,"M2a"
"408",88456704,"M2a"
"409",340114944,"M2a"
"410",71679488,"M2a"
"411",474332672,"M2a"
"412",205897216,"M2a"
"413",507887104,"M2a"
"414",239451648,"M2a"
"415",373669376,"M2a"
"416",105233920,"M2a"
"417",374717952,"M2a"
"418",106282496,"M2a"
"419",508935680,"M2a"
"420",240500224,"M2a"
"421",475381248,"M2a"
"422",206945792,"M2a"
"423",341163520,"M2a"
"424",72728064,"M2a"
"425",357940736,"M2a"
"426",89505280,"M2a"
"427",492158464,"M2a"
"428",223723008,"M2a"
"429",525712896,"M2a"
"430",257277440,"M2a"
"431",391495168,"M2a"
"432",123059712,"M2a"
"433",387300864,"M2a"
"434",118865408,"M2a"
"435",521518592,"M2a"
"436",253083136,"M2a"
"437",487964160,"M2a"
"438",219528704,"M2a"
"439",353746432,"M2a"
"440",85310976,"M2a"
"441",336969216,"M2a"
"442",68533760,"M2a"
"443",471186944,"M2a"
"444",202751488,"M2a"
"445",504741376,"M2a"
"446",236305920,"M2a"
"447",370523648,"M2a"
"448",102088192,"M2a"
"449",303400960,"M2c"
"450",34965504,"M2c"
"451",437618688,"M2c"
"452",169183232,"M2c"
"453",404064256,"M2c"
"454",135628800,"M2c"
"455",269846528,"M2c"
"456",1411072,"M2c"
"457",286623744,"M2c"
"458",18188288,"M2c"
"459",420841472,"M2c"
"460",152406016,"M2c"
"461",454395904,"M2c"
"462",185960448,"M2c"
"463",320178176,"M2c"
"464",51742720,"M2c"
"465",324372480,"M2c"
"466",55937024,"M2c"
"467",458590208,"M2c"
"468",190154752,"M2c"
"469",425035776,"M2c"
"470",156600320,"M2c"
"471",290818048,"M2c"
"472",22382592,"M2c"
"473",274040832,"M2c"
"474",5605376,"M2c"
"475",408258560,"M2c"
"476",139823104,"M2c"
"477",441812992,"M2c"
"478",173377536,"M2c"
"479",307595264,"M2c"
"480",39159808,"M2c"
"481",306546688,"M2c"
"482",38111232,"M2c"
"483",440764416,"M2c"
"484",172328960,"M2c"
"485",407209984,"M2c"
"486",138774528,"M2c"
"487",272992256,"M2c"
"488",4556800,"M2c"
"489",289769472,"M2c"
"490",21334016,"M2c"
"491",423987200,"M2c"
"492",155551744,"M2c"
"493",457541632,"M2c"
"494",189106176,"M2c"
"495",323323904,"M2c"
"496",54888448,"M2c"
"497",319129600,"M2c"
"498",50694144,"M2c"
"499",453347328,"M2c"
"500",184911872,"M2c"
"501",419792896,"M2c"
"502",151357440,"M2c"
"503",285575168,"M2c"
"504",17139712,"M2c"
"505",268797952,"M2c"
"506",362496,"M2c"
"507",403015680,"M2c"
"508",134580224,"M2c"
"509",436570112,"M2c"
"510",168134656,"M2c"
"511",302352384,"M2c"
"512",33916928,"M2c"
"513",310741120,"M2c"
"514",42305664,"M2c"
"515",444958848,"M2c"
"516",176523392,"M2c"
"517",411404416,"M2c"
"518",142968960,"M2c"
